######################################################################
                        ALTERNATIVES GENERATED
######################################################################
+------+-------+-------+--------+-------+-------+-------+------------+
|  i   |   k1  |   k2  |   k3   |   e1  |   e2  |   e3  | worse_than |
| 1315 | 7.231 | 0.933 | 39.681 | 0.268 | 0.367 |  0.27 |    1983    |
| 1316 |  6.6  | 0.977 | 41.456 |  0.52 | 0.856 | 0.191 |    1980    |
| 1317 | 6.793 |  0.93 | 38.394 | 0.443 | 0.333 | 0.326 |    1988    |
| 1318 | 5.745 |  0.9  |  36.6  | 0.862 |  0.0  | 0.405 |    1992    |
| 1319 | 6.109 | 0.973 | 38.47  | 0.716 | 0.811 | 0.323 |    1980    |
| 1320 | 6.637 | 0.932 | 42.505 | 0.505 | 0.356 | 0.145 |    1988    |
| 1321 | 6.021 | 0.973 | 33.817 | 0.752 | 0.811 | 0.528 |    1980    |
| 1322 | 7.383 | 0.932 | 34.422 | 0.207 | 0.356 | 0.501 |    1988    |
| 1323 | 6.803 | 0.963 | 26.337 | 0.439 |  0.7  | 0.857 |    1980    |
| 1324 | 7.679 | 0.931 | 30.628 | 0.088 | 0.344 | 0.668 |    1988    |
| 1325 | 6.908 | 0.912 | 29.123 | 0.397 | 0.133 | 0.735 |    1988    |
| 1326 | 6.497 | 0.915 | 45.297 | 0.561 | 0.167 | 0.022 |    1999    |
| 1327 | 7.735 | 0.966 | 43.12  | 0.066 | 0.733 | 0.118 |    1999    |
| 1328 | 5.703 | 0.906 | 31.406 | 0.879 | 0.067 | 0.634 |    1988    |
| 1329 |  7.34 | 0.966 | 29.501 | 0.224 | 0.733 | 0.718 |    1980    |
| 1330 | 5.555 | 0.939 | 23.104 | 0.938 | 0.433 |  1.0  |    None    |
| 1331 | 5.481 | 0.942 | 31.776 | 0.968 | 0.467 | 0.618 |    1832    |
| 1332 | 5.972 | 0.917 | 27.046 | 0.771 | 0.189 | 0.826 |    1980    |
| 1333 | 7.819 | 0.914 | 41.657 | 0.032 | 0.156 | 0.183 |    1998    |
| 1334 | 6.884 | 0.958 | 34.572 | 0.406 | 0.644 | 0.495 |    1983    |
| 1335 | 7.282 | 0.922 | 28.044 | 0.247 | 0.244 | 0.782 |    1988    |
| 1336 | 7.199 |  0.9  | 40.801 |  0.28 |  0.0  |  0.22 |    1997    |
| 1337 | 6.971 | 0.932 | 33.137 | 0.372 | 0.356 | 0.558 |    1988    |
| 1338 | 6.374 | 0.987 | 42.52  |  0.61 | 0.967 | 0.144 |    1932    |
| 1339 | 5.698 | 0.903 | 32.155 | 0.881 | 0.033 | 0.601 |    1988    |
| 1340 | 6.967 | 0.935 | 42.271 | 0.373 | 0.389 | 0.155 |    1983    |
| 1341 | 5.507 | 0.989 | 41.105 | 0.957 | 0.989 | 0.207 |    None    |
| 1342 | 6.389 | 0.962 | 31.832 | 0.604 | 0.689 | 0.615 |    1983    |
| 1343 | 6.212 | 0.916 | 31.223 | 0.675 | 0.178 | 0.642 |    1988    |
| 1344 | 7.348 | 0.978 | 44.23  | 0.221 | 0.867 | 0.069 |    1999    |
| 1345 | 6.843 |  0.91 | 26.18  | 0.423 | 0.111 | 0.864 |    1980    |
| 1346 | 7.469 | 0.928 | 42.237 | 0.172 | 0.311 | 0.157 |    1998    |
| 1347 | 7.262 | 0.913 | 40.905 | 0.255 | 0.144 | 0.216 |    1992    |
| 1348 | 7.735 | 0.904 | 30.886 | 0.066 | 0.044 | 0.657 |    1997    |
| 1349 | 6.664 | 0.963 | 36.749 | 0.494 |  0.7  | 0.399 |    1983    |
| 1350 | 6.934 | 0.968 | 42.962 | 0.386 | 0.756 | 0.125 |    1999    |
| 1351 | 6.168 | 0.989 | 25.047 | 0.693 | 0.989 | 0.914 |    None    |
| 1352 | 6.409 | 0.911 | 37.675 | 0.596 | 0.122 | 0.358 |    1997    |
| 1353 | 6.261 | 0.949 | 36.29  | 0.656 | 0.544 | 0.419 |    1983    |
| 1354 | 5.915 |  0.94 | 42.004 | 0.794 | 0.444 | 0.167 |    1983    |
| 1355 |  5.52 | 0.967 | 25.078 | 0.952 | 0.744 | 0.913 |    1832    |
| 1356 | 7.731 | 0.973 | 28.686 | 0.068 | 0.811 | 0.754 |    1994    |
| 1357 | 7.291 | 0.943 | 29.508 | 0.244 | 0.478 | 0.718 |    1980    |
| 1358 | 6.342 | 0.958 | 37.376 | 0.623 | 0.644 | 0.371 |    1983    |
| 1359 | 6.908 | 0.919 | 37.247 | 0.397 | 0.211 | 0.377 |    1988    |
| 1360 | 6.549 | 0.953 | 27.477 |  0.54 | 0.589 | 0.807 |    1980    |
| 1361 | 6.684 | 0.987 | 36.667 | 0.486 | 0.967 | 0.402 |    1932    |
| 1362 | 5.863 | 0.958 | 28.982 | 0.815 | 0.644 | 0.741 |    1980    |
| 1363 | 6.224 |  0.98 | 30.617 |  0.67 | 0.889 | 0.669 |    1980    |
| 1364 | 6.956 | 0.927 | 23.229 | 0.378 |  0.3  | 0.994 |    1330    |
| 1365 | 7.301 | 0.923 | 24.07  |  0.24 | 0.256 | 0.957 |    1886    |
| 1366 | 5.711 | 0.947 | 29.451 | 0.876 | 0.522 |  0.72 |    1980    |
| 1367 | 7.377 | 0.913 | 35.369 | 0.209 | 0.144 |  0.46 |    1998    |
| 1368 | 6.914 | 0.957 | 41.297 | 0.394 | 0.633 | 0.198 |    1983    |
| 1369 | 5.874 | 0.906 | 32.911 |  0.81 | 0.067 | 0.568 |    1997    |
| 1370 | 6.934 | 0.929 | 23.989 | 0.386 | 0.322 | 0.961 |    1886    |
| 1371 | 5.821 | 0.945 | 41.369 | 0.832 |  0.5  | 0.195 |    1980    |
| 1372 | 5.676 | 0.966 | 38.978 |  0.89 | 0.733 | 0.301 |    1980    |
| 1373 | 5.713 | 0.901 | 43.345 | 0.875 | 0.011 | 0.108 |    1992    |
| 1374 | 7.204 | 0.977 | 31.738 | 0.278 | 0.856 | 0.619 |    1980    |
| 1375 | 5.782 |  0.91 |  44.2  | 0.847 | 0.111 |  0.07 |    1997    |
| 1376 | 5.567 | 0.913 | 43.373 | 0.933 | 0.144 | 0.107 |    1992    |
| 1377 | 7.576 | 0.986 | 34.792 |  0.13 | 0.956 | 0.485 |    1932    |
| 1378 | 7.473 | 0.912 | 32.121 | 0.171 | 0.133 | 0.603 |    1997    |
| 1379 | 5.454 | 0.964 | 36.137 | 0.978 | 0.711 | 0.426 |    1957    |
| 1380 | 5.829 | 0.921 | 41.46  | 0.828 | 0.233 | 0.191 |    1988    |
| 1381 | 5.883 |  0.92 | 29.899 | 0.807 | 0.222 |  0.7  |    1988    |
| 1382 |  6.37 | 0.985 | 41.417 | 0.612 | 0.944 | 0.193 |    1932    |
| 1383 | 7.868 | 0.947 | 43.217 | 0.013 | 0.522 | 0.114 |    1999    |
| 1384 |  5.58 |  0.95 | 38.99  | 0.928 | 0.556 |  0.3  |    1957    |
| 1385 | 5.604 | 0.922 | 27.871 | 0.918 | 0.244 |  0.79 |    1954    |
| 1386 | 7.572 | 0.943 | 43.481 | 0.131 | 0.478 | 0.102 |    1999    |
| 1387 | 6.244 | 0.948 | 43.921 | 0.662 | 0.533 | 0.083 |    1999    |
| 1388 | 7.481 | 0.942 | 30.165 | 0.168 | 0.467 | 0.689 |    1983    |
| 1389 | 5.803 |  0.97 | 30.291 | 0.839 | 0.778 | 0.683 |    1980    |
| 1390 | 7.547 | 0.931 | 42.079 | 0.141 | 0.344 | 0.164 |    1998    |
| 1391 | 7.288 | 0.923 | 39.191 | 0.245 | 0.256 | 0.291 |    1988    |
| 1392 | 7.868 | 0.975 | 26.264 | 0.013 | 0.833 | 0.861 |    1994    |
| 1393 | 6.544 | 0.928 | 30.109 | 0.542 | 0.311 | 0.691 |    1988    |
| 1394 | 5.895 | 0.976 | 42.664 | 0.802 | 0.844 | 0.138 |    1980    |
| 1395 | 7.584 | 0.953 | 35.794 | 0.126 | 0.589 | 0.441 |    1998    |
| 1396 | 6.595 | 0.983 | 29.528 | 0.522 | 0.922 | 0.717 |    1932    |
| 1397 | 5.521 | 0.936 | 35.741 | 0.952 |  0.4  | 0.443 |    1957    |
| 1398 | 6.835 |  0.92 | 37.61  | 0.426 | 0.222 | 0.361 |    1988    |
| 1399 | 7.851 | 0.917 | 34.068 |  0.02 | 0.189 | 0.517 |    1994    |
| 1400 | 7.329 |  0.93 | 24.661 | 0.228 | 0.333 | 0.931 |    1886    |
| 1401 | 5.742 |  0.97 | 44.95  | 0.863 | 0.778 | 0.037 |    1980    |
| 1402 | 5.721 |  0.93 | 36.354 | 0.872 | 0.333 | 0.416 |    1988    |
| 1403 | 5.811 | 0.901 | 32.997 | 0.836 | 0.011 | 0.564 |    1997    |
| 1404 | 6.392 | 0.949 | 33.362 | 0.603 | 0.544 | 0.548 |    1983    |
| 1405 | 7.699 | 0.926 | 35.146 |  0.08 | 0.289 | 0.469 |    1998    |
| 1406 | 7.269 | 0.923 | 35.077 | 0.252 | 0.256 | 0.472 |    1988    |
| 1407 | 5.564 | 0.956 | 41.212 | 0.934 | 0.622 | 0.202 |    1957    |
| 1408 | 5.585 | 0.901 | 25.663 | 0.926 | 0.011 | 0.887 |    1954    |
| 1409 | 6.729 | 0.913 |  36.2  | 0.468 | 0.144 | 0.423 |    1992    |
| 1410 | 7.298 | 0.941 | 43.826 | 0.241 | 0.456 | 0.087 |    1999    |
| 1411 | 7.557 | 0.935 | 28.498 | 0.137 | 0.389 | 0.762 |    1980    |
| 1412 | 7.383 | 0.948 | 42.906 | 0.207 | 0.533 | 0.127 |    1999    |
| 1413 | 6.073 |  0.95 | 43.218 | 0.731 | 0.556 | 0.114 |    1983    |
| 1414 | 6.294 | 0.925 | 43.15  | 0.642 | 0.278 | 0.117 |    1999    |
| 1415 | 7.821 | 0.915 | 43.422 | 0.032 | 0.167 | 0.105 |    1999    |
| 1416 | 6.927 | 0.977 | 45.258 | 0.389 | 0.856 | 0.024 |    1999    |
| 1417 | 5.916 | 0.929 | 37.186 | 0.794 | 0.322 | 0.379 |    1988    |
| 1418 | 7.393 | 0.957 | 29.055 | 0.203 | 0.633 | 0.738 |    1980    |
| 1419 |  6.96 |  0.94 | 27.684 | 0.376 | 0.444 | 0.798 |    1980    |
| 1420 | 7.566 | 0.935 | 40.163 | 0.134 | 0.389 | 0.248 |    1998    |
| 1421 | 7.482 | 0.952 | 36.728 | 0.167 | 0.578 |  0.4  |    1998    |
| 1422 | 7.684 | 0.953 | 27.508 | 0.086 | 0.589 | 0.806 |    1980    |
| 1423 | 6.022 | 0.901 | 29.204 | 0.751 | 0.011 | 0.731 |    1988    |
| 1424 | 7.869 |  0.97 |  41.4  | 0.012 | 0.778 | 0.194 |    1994    |
| 1425 | 5.443 | 0.901 | 28.558 | 0.983 | 0.011 |  0.76 |    1954    |
| 1426 |  7.44 | 0.975 | 39.366 | 0.184 | 0.833 | 0.283 |    1980    |
| 1427 | 6.637 | 0.951 | 24.952 | 0.505 | 0.567 | 0.918 |    1882    |
| 1428 | 5.814 | 0.929 | 45.229 | 0.834 | 0.322 | 0.025 |    1995    |
| 1429 | 6.161 | 0.966 | 27.032 | 0.696 | 0.733 | 0.827 |    1980    |
| 1430 | 5.632 | 0.915 | 26.355 | 0.907 | 0.167 | 0.857 |    1980    |
| 1431 | 6.857 | 0.967 | 33.55  | 0.417 | 0.744 |  0.54 |    1983    |
| 1432 | 7.357 | 0.944 | 40.348 | 0.217 | 0.489 |  0.24 |    1998    |
| 1433 | 7.027 | 0.929 | 45.557 | 0.349 | 0.322 | 0.011 |    1999    |
| 1434 | 6.651 | 0.925 | 26.016 |  0.5  | 0.278 | 0.872 |    1980    |
| 1435 | 5.659 | 0.917 | 28.681 | 0.896 | 0.189 | 0.754 |    1988    |
| 1436 | 5.491 | 0.918 | 29.219 | 0.964 |  0.2  |  0.73 |    1967    |
| 1437 | 6.058 | 0.923 | 29.494 | 0.737 | 0.256 | 0.718 |    1988    |
| 1438 | 7.635 | 0.939 | 37.616 | 0.106 | 0.433 | 0.361 |    1998    |
| 1439 | 7.296 | 0.922 | 23.475 | 0.242 | 0.244 | 0.983 |    1886    |
| 1440 | 7.334 | 0.966 | 36.646 | 0.226 | 0.733 | 0.403 |    1983    |
| 1441 | 7.269 | 0.952 |  24.1  | 0.252 | 0.578 | 0.956 |    1832    |
| 1442 | 7.775 |  0.98 | 41.555 |  0.05 | 0.889 | 0.187 |    1994    |
| 1443 | 7.025 | 0.943 | 35.929 |  0.35 | 0.478 | 0.435 |    1983    |
| 1444 | 5.493 | 0.915 | 41.025 | 0.963 | 0.167 |  0.21 |    1967    |
| 1445 | 7.283 | 0.946 | 25.67  | 0.247 | 0.511 | 0.887 |    1980    |
| 1446 | 7.285 | 0.965 | 37.684 | 0.246 | 0.722 | 0.358 |    1983    |
| 1447 | 6.016 | 0.931 | 45.15  | 0.754 | 0.344 | 0.029 |    1995    |
| 1448 | 7.678 |  0.97 | 39.614 | 0.089 | 0.778 | 0.273 |    1990    |
| 1449 | 6.784 | 0.938 | 35.896 | 0.446 | 0.422 | 0.436 |    1983    |
| 1450 | 6.862 | 0.955 | 33.031 | 0.415 | 0.611 | 0.563 |    1983    |
| 1451 | 7.509 | 0.983 | 36.38  | 0.156 | 0.922 | 0.415 |    1942    |
| 1452 | 6.241 | 0.973 | 40.952 | 0.664 | 0.811 | 0.214 |    1980    |
| 1453 | 6.835 | 0.913 | 37.17  | 0.426 | 0.144 |  0.38 |    1992    |
| 1454 | 6.987 | 0.947 | 26.541 | 0.365 | 0.522 | 0.848 |    1980    |
| 1455 | 6.117 | 0.905 | 28.641 | 0.713 | 0.056 | 0.756 |    1988    |
| 1456 | 6.675 | 0.921 | 37.886 |  0.49 | 0.233 | 0.349 |    1988    |
| 1457 | 7.443 | 0.919 | 41.755 | 0.183 | 0.211 | 0.178 |    1998    |
| 1458 | 5.441 |  0.96 | 34.744 | 0.984 | 0.667 | 0.487 |    1832    |
| 1459 |  6.79 | 0.981 | 44.077 | 0.444 |  0.9  | 0.076 |    1999    |
| 1460 | 7.868 | 0.926 | 38.776 | 0.013 | 0.289 | 0.309 |    1998    |
| 1461 | 7.883 | 0.946 | 42.891 | 0.007 | 0.511 | 0.128 |    1999    |
| 1462 | 7.778 | 0.915 | 37.063 | 0.049 | 0.167 | 0.385 |    1998    |
| 1463 | 6.783 | 0.949 | 31.405 | 0.447 | 0.544 | 0.634 |    1983    |
| 1464 | 7.322 | 0.926 | 42.604 | 0.231 | 0.289 | 0.141 |    1998    |
| 1465 | 5.885 | 0.987 | 26.541 | 0.806 | 0.967 | 0.848 |    None    |
| 1466 | 7.555 | 0.987 | 25.105 | 0.138 | 0.967 | 0.912 |    1593    |
| 1467 | 6.116 |  0.97 | 25.004 | 0.714 | 0.778 | 0.916 |    1980    |
| 1468 | 6.614 | 0.901 | 39.506 | 0.514 | 0.011 | 0.277 |    1997    |
| 1469 | 7.396 | 0.948 | 41.195 | 0.202 | 0.533 | 0.203 |    1998    |
| 1470 | 6.661 | 0.902 | 25.663 | 0.496 | 0.022 | 0.887 |    1980    |
| 1471 | 6.239 | 0.914 | 40.721 | 0.664 | 0.156 | 0.224 |    1992    |
| 1472 | 7.698 | 0.985 | 33.89  | 0.081 | 0.944 | 0.525 |    1994    |
| 1473 | 5.528 | 0.945 | 28.307 | 0.949 |  0.5  | 0.771 |    1832    |
| 1474 | 7.746 | 0.982 | 31.231 | 0.062 | 0.911 | 0.642 |    1994    |
| 1475 | 6.765 | 0.932 | 25.002 | 0.454 | 0.356 | 0.916 |    1980    |
| 1476 | 5.914 | 0.916 | 38.658 | 0.794 | 0.178 | 0.315 |    1992    |
| 1477 | 7.856 |  0.93 | 27.003 | 0.018 | 0.333 | 0.828 |    1994    |
| 1478 | 6.669 | 0.954 | 26.366 | 0.492 |  0.6  | 0.856 |    1980    |
| 1479 | 7.888 | 0.951 | 30.839 | 0.005 | 0.567 | 0.659 |    1994    |
| 1480 | 7.234 |  0.97 | 38.098 | 0.266 | 0.778 | 0.339 |    1980    |
| 1481 | 5.786 | 0.945 | 37.158 | 0.846 |  0.5  | 0.381 |    1980    |
| 1482 | 5.676 | 0.964 | 40.039 |  0.89 | 0.711 | 0.254 |    1980    |
| 1483 | 6.985 | 0.955 | 27.382 | 0.366 | 0.611 | 0.811 |    1980    |
| 1484 | 6.788 | 0.926 | 30.452 | 0.445 | 0.289 | 0.676 |    1988    |
| 1485 | 7.465 | 0.982 | 25.642 | 0.174 | 0.911 | 0.888 |    1980    |
| 1486 | 5.479 | 0.936 | 37.582 | 0.968 |  0.4  | 0.362 |    1957    |
| 1487 | 7.494 | 0.945 | 30.064 | 0.162 |  0.5  | 0.693 |    1983    |
| 1488 | 6.432 | 0.912 | 43.952 | 0.587 | 0.133 | 0.081 |    1999    |
| 1489 | 5.508 | 0.912 | 33.281 | 0.957 | 0.133 | 0.551 |    1967    |
| 1490 |  5.74 | 0.966 | 34.027 | 0.864 | 0.733 | 0.519 |    1980    |
| 1491 | 5.475 | 0.933 | 35.638 |  0.97 | 0.367 | 0.448 |    1957    |
| 1492 | 6.184 | 0.913 | 36.909 | 0.686 | 0.144 | 0.392 |    1992    |
| 1493 |  7.3  | 0.917 | 39.32  |  0.24 | 0.189 | 0.285 |    1998    |
| 1494 | 5.781 |  0.98 | 23.749 | 0.848 | 0.889 | 0.971 |    822     |
| 1495 | 6.845 | 0.942 | 29.415 | 0.422 | 0.467 | 0.722 |    1980    |
| 1496 | 7.115 | 0.952 | 44.013 | 0.314 | 0.578 | 0.079 |    1999    |
| 1497 | 5.801 | 0.918 | 32.446 |  0.84 |  0.2  | 0.588 |    1988    |
| 1498 | 6.855 | 0.912 | 34.547 | 0.418 | 0.133 | 0.496 |    1997    |
| 1499 | 5.403 | 0.986 | 34.237 | 0.999 | 0.956 | 0.509 |    None    |
| 1500 | 7.461 |  0.94 | 42.822 | 0.176 | 0.444 | 0.131 |    1999    |
| 1501 | 5.969 | 0.907 | 43.357 | 0.772 | 0.078 | 0.108 |    1997    |
| 1502 | 6.274 | 0.935 | 31.811 |  0.65 | 0.389 | 0.616 |    1983    |
| 1503 | 7.666 | 0.984 | 25.111 | 0.094 | 0.933 | 0.911 |    1793    |
| 1504 | 6.653 | 0.937 | 40.133 | 0.499 | 0.411 |  0.25 |    1983    |
| 1505 | 5.406 | 0.917 | 36.362 | 0.998 | 0.189 | 0.416 |    1739    |
| 1506 | 5.863 | 0.952 | 40.642 | 0.815 | 0.578 | 0.227 |    1983    |
| 1507 | 7.208 | 0.962 | 44.643 | 0.277 | 0.689 | 0.051 |    1999    |
| 1508 | 6.487 | 0.978 | 33.025 | 0.565 | 0.867 | 0.563 |    1980    |
| 1509 | 6.784 | 0.989 | 31.483 | 0.446 | 0.989 | 0.631 |    1060    |
| 1510 | 7.287 | 0.964 | 24.651 | 0.245 | 0.711 | 0.932 |    1832    |
| 1511 | 6.165 | 0.922 | 36.898 | 0.694 | 0.244 | 0.392 |    1988    |
| 1512 | 7.292 | 0.965 | 31.057 | 0.243 | 0.722 | 0.649 |    1983    |
| 1513 | 6.227 | 0.944 | 33.542 | 0.669 | 0.489 |  0.54 |    1983    |
| 1514 | 7.032 | 0.964 | 26.207 | 0.347 | 0.711 | 0.863 |    1980    |
| 1515 |  5.65 | 0.949 | 38.815 |  0.9  | 0.544 | 0.308 |    1980    |
| 1516 | 6.612 |  0.98 | 33.025 | 0.515 | 0.889 | 0.563 |    1980    |
| 1517 | 5.999 | 0.965 | 45.038 |  0.76 | 0.722 | 0.034 |    1995    |
| 1518 | 5.963 | 0.909 | 37.339 | 0.775 |  0.1  | 0.373 |    1997    |
| 1519 | 7.704 | 0.966 | 24.911 | 0.078 | 0.733 |  0.92 |    1925    |
| 1520 | 5.477 | 0.967 | 40.751 | 0.969 | 0.744 | 0.222 |    1957    |
| 1521 | 7.372 | 0.974 | 40.464 | 0.211 | 0.822 | 0.235 |    1980    |
| 1522 | 5.518 | 0.929 | 28.273 | 0.953 | 0.322 | 0.772 |    1832    |
| 1523 | 5.835 | 0.916 | 45.724 | 0.826 | 0.178 | 0.003 |    1995    |
| 1524 | 5.829 | 0.973 | 30.88  | 0.828 | 0.811 | 0.657 |    1980    |
| 1525 | 5.607 | 0.922 | 31.526 | 0.917 | 0.244 | 0.629 |    1967    |
| 1526 | 7.196 | 0.985 | 34.58  | 0.282 | 0.944 | 0.494 |    1932    |
| 1527 |  7.08 | 0.976 | 24.168 | 0.328 | 0.844 | 0.953 |    1793    |
| 1528 | 7.605 | 0.944 | 29.957 | 0.118 | 0.489 | 0.698 |    1980    |
| 1529 | 7.414 | 0.959 | 26.796 | 0.194 | 0.656 | 0.837 |    1980    |
| 1530 | 6.476 | 0.917 | 32.464 |  0.57 | 0.189 | 0.587 |    1988    |
| 1531 |  5.42 | 0.926 | 31.087 | 0.992 | 0.289 | 0.648 |    1832    |
| 1532 | 6.455 | 0.932 | 41.542 | 0.578 | 0.356 | 0.188 |    1988    |
| 1533 | 6.397 | 0.953 | 40.288 | 0.601 | 0.589 | 0.243 |    1983    |
| 1534 | 6.877 |  0.92 | 31.458 | 0.409 | 0.222 | 0.632 |    1988    |
| 1535 | 6.193 | 0.954 | 29.422 | 0.683 |  0.6  | 0.721 |    1980    |
| 1536 | 7.355 |  0.94 | 43.187 | 0.218 | 0.444 | 0.115 |    1999    |
| 1537 | 5.843 | 0.988 | 31.312 | 0.823 | 0.978 | 0.638 |    None    |
| 1538 | 6.129 | 0.933 | 41.22  | 0.708 | 0.367 | 0.202 |    1983    |
| 1539 |  6.36 |  0.94 | 35.108 | 0.616 | 0.444 | 0.471 |    1983    |
| 1540 | 5.989 |  0.94 | 25.838 | 0.764 | 0.444 | 0.879 |    1980    |
| 1541 | 6.685 | 0.957 | 30.187 | 0.486 | 0.633 | 0.688 |    1983    |
| 1542 |  5.8  | 0.929 | 30.143 |  0.84 | 0.322 |  0.69 |    1988    |
| 1543 |  5.73 | 0.915 | 25.926 | 0.868 | 0.167 | 0.876 |    1980    |
| 1544 | 6.345 | 0.939 | 30.286 | 0.622 | 0.433 | 0.683 |    1983    |
| 1545 |  7.72 |  0.94 | 27.291 | 0.072 | 0.444 | 0.815 |    1994    |
| 1546 | 5.904 |  0.92 | 28.362 | 0.798 | 0.222 | 0.768 |    1988    |
| 1547 | 6.641 | 0.933 | 27.436 | 0.504 | 0.367 | 0.809 |    1980    |
| 1548 | 5.962 |  0.91 | 44.378 | 0.775 | 0.111 | 0.063 |    1997    |
| 1549 | 7.347 | 0.911 | 39.465 | 0.221 | 0.122 | 0.279 |    1998    |
| 1550 | 7.204 |  0.9  | 24.441 | 0.278 |  0.0  | 0.941 |    1898    |
| 1551 | 6.886 | 0.944 | 43.777 | 0.406 | 0.489 | 0.089 |    1999    |
| 1552 | 7.026 | 0.968 | 29.078 |  0.35 | 0.756 | 0.737 |    1980    |
| 1553 | 5.815 | 0.951 | 45.437 | 0.834 | 0.567 | 0.016 |    1995    |
| 1554 |  5.79 | 0.967 | 28.352 | 0.844 | 0.744 | 0.769 |    1980    |
| 1555 | 7.062 | 0.933 | 28.313 | 0.335 | 0.367 |  0.77 |    1980    |
| 1556 |  5.43 | 0.955 | 43.26  | 0.988 | 0.611 | 0.112 |    1957    |
| 1557 | 6.212 |  0.97 | 44.248 | 0.675 | 0.778 | 0.068 |    1999    |
| 1558 | 7.131 | 0.931 | 41.601 | 0.308 | 0.344 | 0.185 |    1988    |
| 1559 |  6.88 | 0.974 | 39.009 | 0.408 | 0.822 | 0.299 |    1980    |
| 1560 | 5.939 | 0.971 | 28.232 | 0.784 | 0.789 | 0.774 |    1980    |
| 1561 | 7.462 | 0.966 | 34.095 | 0.175 | 0.733 | 0.516 |    1983    |
| 1562 | 5.626 | 0.966 | 43.032 |  0.91 | 0.733 | 0.122 |    1957    |
| 1563 | 7.173 | 0.934 | 26.325 | 0.291 | 0.378 | 0.858 |    1980    |
| 1564 | 6.267 | 0.922 | 26.428 | 0.653 | 0.244 | 0.853 |    1980    |
| 1565 |  7.06 | 0.911 | 31.779 | 0.336 | 0.122 | 0.618 |    1997    |
| 1566 | 7.446 | 0.963 | 31.76  | 0.182 |  0.7  | 0.619 |    1983    |
| 1567 |  5.45 | 0.982 | 28.69  |  0.98 | 0.911 | 0.754 |    None    |
| 1568 | 6.067 | 0.934 | 32.391 | 0.733 | 0.378 | 0.591 |    1983    |
| 1569 |  5.56 | 0.949 | 37.09  | 0.936 | 0.544 | 0.384 |    1957    |
| 1570 | 7.505 | 0.942 | 36.787 | 0.158 | 0.467 | 0.397 |    1998    |
| 1571 | 7.178 | 0.904 | 31.718 | 0.289 | 0.044 |  0.62 |    1997    |
| 1572 | 7.279 | 0.985 | 30.466 | 0.248 | 0.944 | 0.676 |    1932    |
| 1573 | 5.988 | 0.922 | 27.459 | 0.765 | 0.244 | 0.808 |    1988    |
| 1574 | 6.654 | 0.941 | 29.097 | 0.498 | 0.456 | 0.736 |    1980    |
| 1575 | 6.326 | 0.916 | 24.439 |  0.63 | 0.178 | 0.941 |    1886    |
| 1576 | 7.126 | 0.985 | 43.486 |  0.31 | 0.944 | 0.102 |    1932    |
| 1577 | 6.652 | 0.965 | 42.79  | 0.499 | 0.722 | 0.133 |    1999    |
| 1578 | 7.771 | 0.978 | 38.494 | 0.052 | 0.867 | 0.322 |    1994    |
| 1579 | 6.367 | 0.936 | 31.877 | 0.613 |  0.4  | 0.613 |    1983    |
| 1580 |  7.55 | 0.922 | 37.577 |  0.14 | 0.244 | 0.362 |    1998    |
| 1581 | 6.955 | 0.931 | 32.452 | 0.378 | 0.344 | 0.588 |    1988    |
| 1582 | 6.517 |  0.95 | 44.327 | 0.553 | 0.556 | 0.065 |    1999    |
| 1583 | 7.326 | 0.909 | 36.605 |  0.23 |  0.1  | 0.405 |    1998    |
| 1584 | 7.726 | 0.908 | 27.395 |  0.07 | 0.089 | 0.811 |    1994    |
| 1585 | 6.887 | 0.909 | 44.904 | 0.405 |  0.1  | 0.039 |    1999    |
| 1586 | 7.802 | 0.914 | 31.307 | 0.039 | 0.156 | 0.638 |    1994    |
| 1587 | 7.792 | 0.959 | 45.184 | 0.043 | 0.656 | 0.027 |    1999    |
| 1588 | 6.941 | 0.957 | 33.862 | 0.384 | 0.633 | 0.526 |    1983    |
| 1589 | 7.724 |  0.97 | 26.822 |  0.07 | 0.778 | 0.836 |    1994    |
| 1590 | 6.425 | 0.923 | 40.26  |  0.59 | 0.256 | 0.244 |    1988    |
| 1591 | 7.398 | 0.914 | 38.738 | 0.201 | 0.156 | 0.311 |    1998    |
| 1592 | 6.333 | 0.901 | 38.965 | 0.627 | 0.011 | 0.301 |    1997    |
| 1593 | 6.612 | 0.988 | 24.446 | 0.515 | 0.978 | 0.941 |    None    |
| 1594 | 6.101 | 0.945 | 28.285 |  0.72 |  0.5  | 0.772 |    1980    |
| 1595 |  6.78 | 0.917 | 23.173 | 0.448 | 0.189 | 0.997 |    1330    |
| 1596 | 6.736 |  0.97 | 25.935 | 0.466 | 0.778 | 0.875 |    1980    |
| 1597 | 6.739 | 0.921 | 24.483 | 0.464 | 0.233 | 0.939 |    1886    |
| 1598 | 6.609 | 0.977 | 40.843 | 0.516 | 0.856 | 0.218 |    1980    |
| 1599 | 7.394 | 0.971 | 31.905 | 0.202 | 0.789 | 0.612 |    1980    |
| 1600 | 6.519 | 0.987 | 43.079 | 0.552 | 0.967 |  0.12 |    1932    |
| 1601 | 7.362 |  0.91 | 30.112 | 0.215 | 0.111 | 0.691 |    1988    |
| 1602 | 5.541 | 0.915 | 36.571 | 0.944 | 0.167 | 0.407 |    1967    |
| 1603 | 6.717 | 0.957 | 36.674 | 0.473 | 0.633 | 0.402 |    1983    |
